staff_id,assignment_number,departure_date,return_date,assignment_country,pool,job_title,age_bracket,sex,first_departure
4194,1,2001-03-09,2001-06-08,AF,NA,NA,35,F,First departure
4195,1,2001-04-01,2002-04-22,PE,NA,MED,35,M,First departure
4196,1,2001-03-13,2001-10-02,AF,NA,NA,35,M,First departure
4197,1,2001-04-17,2001-12-05,SL,NA,NA,35,F,First departure
4197,2,2005-03-15,2005-03-31,ID,PROJECT COORDINATOR,INF PERIPHERIE,45,F,Not first departure
4197,3,2005-04-01,2005-05-29,ID,NA,INF,45,F,Not first departure
4198,1,2001-03-22,2001-04-07,BI,NA,NA,55,M,Not first departure
4198,2,2006-02-10,2006-02-23,CI,NA,CHIR,65,M,Not first departure
4199,1,2001-08-10,2001-09-30,AF,NA,NA,35,F,First departure
4199,2,2001-11-21,2002-06-03,SL,NA,INF PHU,35,F,Not first departure
4200,1,2001-04-25,2001-07-09,NE,NA,NA,35,M,"First departure, relevant experience"
4200,2,2002-03-28,2002-05-16,ET,NA,LOG,35,M,Not first departure
4200,3,2004-11-10,2005-01-19,PI,NON MEDICAL,SUPERVISION LOGISTIQUE,35,M,Not first departure
4201,1,2001-04-01,2001-06-15,SD,NA,NA,35,F,Not first departure
4201,2,2002-07-25,2003-01-31,AO,NA,INF TB,35,F,Not first departure
4202,1,2001-04-01,2001-06-15,SD,NA,NA,35,M,Not first departure
4202,2,2002-07-25,2002-11-27,AO,NA,SUPERVISEUR LOG,35,M,Not first departure
4202,3,2002-11-28,2003-01-31,AO,PROJECT COORDINATOR,RT,35,M,Not first departure
4203,1,2001-04-02,2001-09-07,KZ,NON MEDICAL,A REFACTURER,35,M,Not first departure
4203,2,2002-08-12,2003-08-11,UG,NON MEDICAL,NA,35,M,Not first departure
4203,3,2004-04-19,2005-07-21,CG,NON MEDICAL,CHEF DE MISSION,35,M,Not first departure
4203,4,2006-10-10,2006-12-01,JO,NON MEDICAL,CHEF DE  MISSION,45,M,Not first departure
4204,1,2001-03-22,2001-09-30,AF,NA,NA,35,M,First departure
4205,1,2002-04-29,2002-07-03,AO,NA,MED CNT1,65,M,First departure
4205,2,2002-12-04,2003-01-12,CI,NA,ANESTH,65,M,Not first departure
4205,3,2003-10-30,2003-12-16,CI,NA,ANESTH,65,M,Not first departure
4205,4,2006-09-12,2006-10-20,TD,GAS,ANESTH,65,M,Not first departure
4205,5,2007-09-06,2007-10-08,HT,MD,MED REANIM,65,M,Not first departure
4205,6,2008-02-05,2008-03-15,TD,GAS,ANESTH,65,M,Not first departure
4205,7,2008-06-19,2008-07-18,TD,GAS,ANESTH,65,M,Not first departure
4205,8,2008-11-05,2008-12-11,CD,GAS,ANEST SUPPORT,65,M,Not first departure
4205,9,2009-05-12,2009-06-01,TD,GAS,ANESTH,65,M,Not first departure
4205,10,2012-02-07,2012-04-03,HT,GAS,MED REA 2012,65,M,Not first departure
4205,11,2012-12-18,2013-01-21,CD,GAS,MED AN REMPLA,65,M,Not first departure
4205,12,2014-01-20,2014-02-10,CF,GAS,ANESTH URGENCE DECEMBRE,65,M,Not first departure
4205,13,2016-04-15,2016-06-30,FR1,MD,MED OUTREACH,65,M,Not first departure
4206,1,2001-04-09,2001-09-30,YE,NA,NA,35,F,First departure
4207,1,2001-06-13,2001-08-30,CD,NA,NA,45,M,"First departure, relevant experience"
4207,2,2008-04-18,2008-07-19,TD,PROJECT COORDINATOR,RT,45,M,Not first departure
4208,1,2001-04-02,2001-04-30,ET,NA,NA,35,F,First departure
4209,1,2001-05-25,2001-12-11,LK,NA,NA,35,M,First departure
4209,2,2002-01-27,2002-07-01,AF,NA,MED HOPITAL,35,M,Not first departure
4209,3,2002-07-01,2002-07-30,AF,PROJECT COORDINATOR,RT,35,M,Not first departure
4210,1,2001-04-03,2001-05-13,LK,NA,NA,25,F,First departure
4211,1,2001-04-01,2002-04-12,CN,NA,LOG,35,F,First departure
4212,1,2001-06-19,2002-06-12,KE,NA,INF HOPITAL,35,F,First departure
4213,1,2001-05-16,2001-11-19,SL,NA,NA,35,M,First departure
4213,2,2003-06-26,2003-07-31,CI,NA,LOG EXP,35,M,Not first departure
4213,3,2003-08-01,2003-08-27,CI,NA,LOG EXP,35,M,Not first departure
4214,1,2001-03-19,2001-05-01,PG,NA,NA,65,M,Not first departure
4215,1,2001-05-21,2001-05-31,SD,NA,NA,35,F,First departure
4215,2,2001-06-01,2002-07-22,SD,NON MEDICAL,ADMINISTRATEUR,35,F,Not first departure
4215,3,2002-09-16,2002-10-22,AF,NON MEDICAL,ADMINISTRATEUR,35,F,Not first departure
4215,4,2002-11-04,2003-05-02,LR,NON MEDICAL,ADMINISTRATEUR,35,F,Not first departure
4215,5,2003-08-21,2004-05-25,PI,PROJECT COORDINATOR,RT,35,F,Not first departure
4215,6,2004-08-23,2004-12-01,CD,NON MEDICAL,CHEF DE MISSION,35,F,Not first departure
4216,1,2001-05-06,2001-09-30,AF,NA,NA,35,F,First departure
4216,2,2004-04-05,2004-04-25,CI,NA,GYN OBS 04/04,35,F,Not first departure
4217,1,2001-06-11,2003-07-03,LK,NON MEDICAL,ADMINISTRATEUR,45,F,Not first departure
4218,1,2001-04-11,2002-01-23,HN,NA,MED,35,M,First departure
4219,1,2001-04-03,2001-05-27,SL,NA,NA,35,F,First departure
4219,2,2001-05-30,2001-12-18,TH,NA,MED,35,F,Not first departure
4220,1,2001-04-20,2001-10-26,GE,NA,NA,45,F,First departure
4220,2,2001-10-27,2001-11-21,AM,NA,NA,45,F,Not first departure
4221,1,2001-05-02,2001-07-11,NE,NA,NA,35,F,First departure
4222,1,2001-08-17,2001-09-12,AF,NA,NA,35,F,First departure
4222,2,2001-09-13,2002-04-05,ET,NA,INF,35,F,Not first departure
4222,3,2003-11-13,2004-05-16,SL,NA,INF PHU,35,F,Not first departure
4223,1,2001-04-23,2002-02-21,AO,NA,LOG AVION,35,F,First departure
4224,1,2001-04-23,2001-10-22,ET,NA,NA,45,M,First departure
4225,1,2001-03-28,2001-07-30,BI,NA,A REFACTURER,35,F,First departure
4226,1,1997-03-01,1998-03-01,GN,NA,NA,35,F,First departure
4226,2,1998-05-01,2000-02-25,RU,PROJECT COORDINATOR,NA,35,F,Not first departure
4226,3,2000-03-01,2000-07-31,RU,MEDCO,NA,35,F,Not first departure
4226,4,2000-10-01,2001-03-31,RU,PROJECT COORDINATOR,NA,35,F,Not first departure
4226,5,2001-04-01,2001-06-30,RU,PROJECT COORDINATOR,NA,35,F,Not first departure
4228,1,2001-04-17,2001-11-22,SL,NA,NA,45,M,First departure
4228,2,2002-08-12,2002-09-06,AO,NA,MED MOBILE,45,M,Not first departure
4228,3,2003-06-10,2003-07-16,CI,NA,CHIR,45,M,Not first departure
4228,4,2015-01-28,2015-02-27,CF,GAS,CHIRURGIE,55,M,Not first departure
4229,1,2001-09-21,2002-04-17,ET,MD,MED,35,F,First departure
4229,2,2005-05-15,2005-10-28,GE,MEDCO,COMED,35,F,Not first departure
4229,3,2006-07-20,2006-09-18,CF,PROJECT COORDINATOR,RT PAOUA,35,F,Not first departure
4230,1,2001-06-13,2001-12-17,BI,NA,NA,35,F,First departure
4231,1,2001-04-18,2002-05-18,MR,NON MEDICAL,NA,35,M,First departure
4232,1,2001-07-10,2002-01-15,CD,NA,INF,35,F,First departure
4232,2,2002-11-14,2002-12-20,CD,NA,INF URGENCE,35,F,Not first departure
4232,3,2002-12-21,2003-02-03,CD,NA,INF,35,F,Not first departure
4232,4,2003-03-28,2003-05-09,NE,NA,INF VACCI MARADI EXP,35,F,Not first departure
4232,5,2003-11-15,2004-01-24,ET,NA,INF,35,F,Not first departure
4232,6,2004-02-26,2004-04-17,ET,NA,INF 1,35,F,Not first departure
4232,7,2004-04-18,2004-05-25,ET,NA,INF EXPLO RESETTLEMENT,35,F,Not first departure
4232,8,2006-03-20,2006-04-25,TD,NA,INF VACCI,35,F,Not first departure
4233,1,2001-05-23,2001-07-12,LR,NA,NA,35,M,First departure
4233,2,2002-03-08,2002-08-23,GN,NA,LOG,35,M,Not first departure
4234,1,2001-04-17,2001-10-03,ET,NA,NA,35,M,First departure
4235,1,2001-05-11,2001-11-10,LK,NA,NA,65,F,First departure
4235,2,2003-02-18,2003-05-30,SL,NA,MED,65,F,Not first departure
4236,1,2002-10-18,2003-04-11,IR,NA,INF,35,F,First departure
4237,1,2001-04-25,2001-05-15,BI,NA,NA,35,M,First departure
4237,2,2001-06-22,2001-12-21,TH,NA,MED,35,M,Not first departure
4238,1,2001-05-30,2001-10-25,GE,NON MEDICAL,NA,35,F,First departure
4238,2,2003-01-28,2003-07-16,NE,NA,LOG CONSTRUCTION,35,F,Not first departure
4238,3,2003-08-18,2003-10-25,KE,NA,LOG CONSTRUCTION,35,F,Not first departure
4238,4,2003-11-13,2004-01-20,KE,NA,LOG CONSTRUCTION,35,F,Not first departure
4238,5,2004-03-03,2004-06-30,KH,NON MEDICAL,NA,35,F,Not first departure
4238,6,2004-07-01,2005-03-25,SS,NON MEDICAL,ARCHITECTE,35,F,Not first departure
4239,1,2001-04-25,2001-06-27,NE,NA,NA,45,M,First departure
4240,1,2001-08-02,2002-01-25,ZM,NA,MED,35,F,First departure
4241,1,2001-05-17,2001-08-13,AO,NA,NA,35,F,First departure
4242,1,2001-05-07,2001-07-27,NE,NON MEDICAL,NA,35,F,First departure
4242,2,2001-09-03,2001-11-14,ZM,NON MEDICAL,NA,35,F,Not first departure
4242,3,2002-03-04,2003-04-04,ET,NON MEDICAL,ADMINISTRATEUR,35,F,Not first departure
4242,4,2005-02-02,2006-04-02,MM,NON MEDICAL,ADMINISTRATEUR,35,F,Not first departure
4242,5,2008-07-28,2009-08-07,PI,NON MEDICAL,COORDO RH & FINANCE,45,F,Not first departure
4243,1,1999-03-06,1999-05-02,CD,NA,NA,35,M,"First departure, relevant experience"
4243,2,2001-05-02,2001-10-31,ET,NA,NA,35,M,Not first departure
4244,1,2001-05-25,2001-07-31,SL,NA,NA,55,M,First departure
4245,1,2001-04-24,2001-10-16,GN,NA,A REFACTURER,35,M,"First departure, relevant experience"
4246,1,2001-05-10,2001-06-27,NE,MD,NA,35,M,First departure
4246,2,2002-05-07,2002-09-09,SL,NA,MED DEPLACES,35,M,Not first departure
4246,3,2003-05-09,2003-09-20,SD,NA,MED 1,35,M,Not first departure
4246,4,2003-10-27,2005-04-30,NP,MEDCO,COMED2,35,M,Not first departure
4247,1,2001-09-19,2002-02-21,NE,NA,INF,45,F,First departure
4248,1,1999-06-08,1999-09-05,AO,NA,NA,35,F,Not first departure
4248,2,1999-10-05,1999-12-15,TL,NA,NA,45,F,Not first departure
4248,3,2001-05-01,2001-07-04,LK,NA,NA,45,F,Not first departure
4249,1,2001-12-27,2002-02-12,IR,NA,NA,35,M,First departure
4250,1,2001-07-27,2002-02-02,CD,NA,INF,35,F,First departure
4251,1,2001-07-16,2002-01-08,SL,NA,ANESTH,35,F,First departure
4252,1,2001-05-21,2001-09-04,ET,NA,NA,65,F,First departure
4253,1,2001-04-30,2001-05-30,ET,NA,NA,65,M,First departure
4254,1,2001-06-05,2001-12-04,YE,NA,NA,25,F,First departure
4254,2,2002-03-15,2002-05-15,LR,NA,INF CARI,35,F,Not first departure
4255,1,2001-05-18,2001-07-20,NE,NA,NA,25,F,First departure
4255,2,2001-07-21,2001-11-13,NE,NA,NA,25,F,Not first departure
4255,3,2002-09-06,2002-12-06,CD,NA,INF URGENCE,35,F,Not first departure
4256,1,2001-05-15,2001-11-28,CD,NA,NA,45,M,First departure
4256,2,2002-05-16,2002-10-24,LK,NON MEDICAL,ADMINISTRATEUR/LOG,45,M,Not first departure
4257,1,2001-09-20,2002-03-25,MM,NA,LABO,35,M,First departure
4257,2,2002-12-10,2003-07-22,KE,NA,PHARMACIEN,35,M,Not first departure
4258,1,2001-05-07,2001-09-04,PI,NA,NA,35,F,First departure
4259,1,2001-05-20,2001-11-01,TH,NA,NA,45,F,First departure
4260,1,2002-03-20,2002-09-05,UG,NA,INF CAMPS,35,F,First departure
4261,1,2002-01-25,2002-07-15,ZM,NA,LOG GÉNÉRAL,35,F,First departure
4261,2,2002-10-01,2003-01-17,CD,NA,LOG GENERAL,35,F,Not first departure
4261,3,2003-06-05,2003-08-22,CI,NA,LOG URG,35,F,Not first departure
4261,4,2009-02-26,2009-06-12,CO,NURSE,RESP EQUIPE,35,F,Not first departure
4262,1,2007-03-20,2007-06-22,JO,NURSE,INF BLOC,35,F,First departure
4262,2,2009-07-01,2009-09-23,LK,NURSE,OT NURSE 2,35,F,Not first departure
4263,1,2001-07-30,2002-03-12,UG,NA,INF HÔPITAL,35,F,First departure
4263,2,2002-04-29,2002-06-30,SL,NA,INF,35,F,Not first departure
4263,3,2002-07-01,2002-10-20,SL,PROJECT COORDINATOR,NA,45,F,Not first departure
4263,4,2002-12-26,2003-03-14,CD,NA,INF EXP,45,F,Not first departure
4264,1,2001-11-11,2001-12-07,AM,NA,NA,35,F,First departure
4264,2,2001-12-08,2002-02-03,ME,NA,NA,35,F,Not first departure
4264,3,2002-02-04,2002-07-25,AM,NA,INF,35,F,Not first departure
4265,1,2001-05-17,2001-08-17,BI,NA,NA,35,M,First departure
4266,1,2001-05-07,2001-07-31,SD,NA,NA,35,M,First departure
4267,1,2001-05-17,2001-11-19,ZM,NA,NA,35,F,Not first departure
4268,1,2001-08-06,2002-02-08,ET,MEDCO,COORDINATEUR MED,45,F,Not first departure
4268,2,2005-02-01,2005-08-02,CD,PROJECT COORDINATOR,POSTE RT,45,F,Not first departure
4269,1,2001-05-25,2002-05-28,TH,PROJECT COORDINATOR,RT,35,M,First departure
4270,1,2001-07-02,2001-09-30,AF,NON MEDICAL,NA,35,F,"First departure, relevant experience"
4270,2,2002-02-14,2002-11-19,UG,NON MEDICAL,ADMINISTRATEUR,35,F,Not first departure
4270,3,2003-02-10,2003-05-11,CD,NON MEDICAL,ADMINISTRATEUR,35,F,Not first departure
4270,4,2003-05-12,2003-08-28,CD,NON MEDICAL,ADMINISTRATEUR,35,F,Not first departure
4270,5,2003-09-16,2003-12-17,SS,NON MEDICAL,COFIN,35,F,Not first departure
4270,6,2004-01-12,2004-04-12,SS,PROJECT COORDINATOR,RT,35,F,Not first departure
4270,7,2004-08-09,2005-08-18,GE,NON MEDICAL,CHEF DE MISSION,35,F,Not first departure
4270,8,2005-10-04,2005-12-23,SD,PROJECT COORDINATOR,RT,45,F,Not first departure
4270,9,2006-04-18,2006-05-01,GE,NA,CONVOYAGE 1,45,F,Not first departure
4270,10,2006-06-06,2006-11-24,CI,NON MEDICAL,CHEF DE MISSION,45,F,Not first departure
4271,1,2001-05-20,2001-08-02,LR,NA,NA,45,F,Not first departure
4271,2,2002-01-01,2003-06-01,AF,MEDCO,NA,45,F,Not first departure
4271,3,2004-07-07,2004-10-01,SD,NA,INF NUT,45,F,Not first departure
4271,4,2005-01-24,2005-05-28,LR,PROJECT COORDINATOR,RT MEDICAL,45,F,Not first departure
4272,1,2001-05-24,2001-11-27,ZM,NA,NA,45,M,Not first departure
4273,1,2001-07-12,2001-09-30,AF,NA,NA,35,F,"First departure, relevant experience"
4273,2,2001-11-09,2002-06-07,CG,NA,MED,35,F,Not first departure
4273,3,2002-08-04,2002-11-22,IR,PROJECT COORDINATOR,RT,45,F,Not first departure
4273,4,2002-11-23,2003-08-24,IR,PROJECT COORDINATOR,RT,45,F,Not first departure
4273,5,2006-03-05,2006-09-14,SS,MEDCO,NA,45,F,Not first departure
4273,6,2007-01-30,2007-05-05,CI,PROJECT COORDINATOR,RT,45,F,Not first departure
4274,1,2001-05-19,2001-09-21,UG,NA,NA,35,F,First departure
4274,2,2001-09-22,2001-12-31,UG,NA,NA,35,F,Not first departure
4275,1,2001-06-21,2001-12-31,CG,NA,NA,35,M,First departure
4275,2,2002-01-01,2002-01-23,CG,NON MEDICAL,NA,35,M,Not first departure
4275,3,2002-04-29,2002-08-31,CD,NON MEDICAL,LOG EXP,35,M,Not first departure
4275,4,2002-09-01,2002-11-10,CD,NON MEDICAL,LOG,35,M,Not first departure
4275,5,2003-02-18,2003-05-20,ET,NON MEDICAL,LOG CONSTRUCTION,35,M,Not first departure
4275,6,2003-08-18,2003-09-24,CI,NON MEDICAL,LOG EXP,35,M,Not first departure
4275,7,2003-11-17,2003-12-11,AF,NON MEDICAL,RTL,35,M,Not first departure
4275,8,2004-01-05,2004-10-15,SL,NON MEDICAL,RTL,35,M,Not first departure
4275,9,2004-10-16,2004-11-18,SL,PROJECT COORDINATOR,RT,35,M,Not first departure
4275,10,2005-01-24,2005-08-01,SD,NON MEDICAL,RTL,35,M,Not first departure
4275,11,2005-08-02,2005-10-06,SD,PROJECT COORDINATOR,RT,35,M,Not first departure
4275,12,2007-01-05,2007-04-01,HT,NON MEDICAL,ELECTRICIEN,35,M,Not first departure
4275,13,2007-04-02,2007-06-16,CD,NON MEDICAL,APPUI BIOMEDICAL 2007,45,M,Not first departure
4275,14,2007-06-17,2007-09-02,SD,NON MEDICAL,BIOMED SUPPORT,45,M,Not first departure
4275,15,2007-09-03,2007-11-27,KE,PROJECT COORDINATOR,SUPPORT BIOMED,45,M,Not first departure
4275,16,2007-11-28,2007-12-26,SO,NON MEDICAL,SUPPORT LOG,45,M,Not first departure
4275,17,2008-01-25,2008-02-26,GE,PROJECT COORDINATOR,SUPPORT BIOMED,45,M,Not first departure
4275,18,2008-03-20,2008-04-23,NE,NON MEDICAL,TECH BIOMED,45,M,Not first departure
4275,19,2008-04-24,2008-05-24,NG,NON MEDICAL,LOG BIOMED,45,M,Not first departure
4275,20,2011-09-02,2011-09-19,LY,NON MEDICAL,BIOMED TECHNICIAN,45,M,Not first departure
4275,21,2012-03-05,2012-10-31,HT,NON MEDICAL,COLOG,45,M,Not first departure
4276,1,2001-05-21,2001-08-25,AF,NA,NA,55,F,First departure
4277,1,2001-09-21,2002-03-22,LR,NURSE,INF HOPITAL,35,F,First departure
4277,2,2002-09-02,2003-02-27,BI,PROJECT COORDINATOR,RT,35,F,Not first departure
4277,3,2003-03-10,2003-06-24,BI,PROJECT COORDINATOR,RT,35,F,Not first departure
4277,4,2003-09-12,2003-12-31,CD,PROJECT COORDINATOR,INF RT/MALEMBA,35,F,Not first departure
4277,5,2006-03-23,2006-08-11,TH,PROJECT COORDINATOR,RT,35,F,Not first departure
4277,6,2006-09-12,2007-04-03,TH,MEDCO,COORDINATEUR MED,35,F,Not first departure
4277,7,2016-08-19,2016-09-23,CF,PROJECT COORDINATOR,CP SICA,45,F,Not first departure
4278,1,2001-06-22,2002-05-11,LK,NA,MED 1,35,M,First departure
4279,1,2002-06-24,2002-07-20,AO,NA,LOG EXP,45,M,Not first departure
4280,1,2001-05-27,2001-06-05,ET,NA,NA,45,M,Not first departure
4281,1,2001-06-15,2001-10-15,LK,NA,NA,55,M,First departure
4282,1,2001-06-17,2001-09-28,AM,NA,NA,35,M,First departure
4283,1,2001-07-02,2001-12-12,LK,NA,NA,35,F,First departure
4284,1,2001-08-31,2001-10-29,BI,GAS,NA,45,F,First departure
4284,2,2004-11-12,2004-12-20,GN,GAS,ANESTH,45,F,Not first departure
4284,3,2014-10-06,2014-10-30,CD,GAS,INFIRMER ANESTHESSITE REMPLA,55,F,Not first departure
4284,4,2017-01-02,2017-01-26,CF,GAS,INF ANESTH,55,F,Not first departure
4285,1,2001-06-12,2001-12-17,CG,NON MEDICAL,NA,35,F,"First departure, relevant experience"
4286,1,2001-06-05,2001-07-05,SS,NA,NA,35,F,First departure
4288,1,2001-06-24,2001-07-17,LK,NA,NA,35,M,First departure
4289,1,2001-07-14,2001-10-05,MM,NA,LABO,35,F,"First departure, relevant experience"
4289,2,2001-11-30,2002-01-05,GE,NA,LABO,35,F,Not first departure
4290,1,2001-06-15,2002-03-04,MW,NA,INF NUT/HYG,65,F,First departure
4291,1,2001-06-04,2001-12-07,IR,NA,NA,35,M,First departure
4291,2,2002-02-07,2002-03-07,SL,NA,PSYCHIATRE,35,M,Not first departure
4291,3,2002-03-25,2002-08-05,LR,NA,MED DEPLACES,35,M,Not first departure
4292,1,2004-06-01,2004-09-03,SD,MD,MED,35,F,First departure
4292,2,2006-01-30,2006-07-04,CD,MD,MED,35,F,Not first departure
4292,3,2009-10-20,2010-01-05,YT,MD,MEDECIN RESPONSABLE,35,F,Not first departure
4292,4,2010-01-13,2011-05-03,MZ,MD,NA,35,F,Not first departure
4292,5,2012-01-23,2013-03-21,CO,MEDCO,COMED,45,F,Not first departure
4293,1,2001-07-26,2002-01-22,BI,NA,INF BLOC,35,M,First departure
4293,2,2002-03-05,2002-07-08,LK,NA,INF BLOC,35,M,Not first departure
4293,3,2004-02-04,2004-03-03,LR,NA,NA,35,M,Not first departure
4293,4,2005-04-19,2005-05-12,AO,NA,INF MOBILE 3,35,M,Not first departure
4293,5,2006-06-06,2006-06-22,ID,NA,INF BLOC,35,M,Not first departure
4294,1,2001-08-01,2001-12-16,LR,NA,NA,35,M,First departure
4294,2,2002-06-24,2002-10-24,AO,NA,LOG SANIT,35,M,Not first departure
4294,3,2003-02-18,2003-04-13,GN,NON MEDICAL,NA,35,M,Not first departure
4294,4,2003-04-14,2003-07-16,CG,NA,LOG WATSAN,35,M,Not first departure
4294,5,2003-07-17,2003-08-26,SL,NON MEDICAL,LOG WATSAN SUPPORT,35,M,Not first departure
4294,6,2003-08-27,2003-10-15,LR,NON MEDICAL,LOG EXP,35,M,Not first departure
4294,7,2003-11-20,2004-05-10,TH,NON MEDICAL,SANIT,35,M,Not first departure
4294,8,2004-07-08,2004-10-10,SD,NON MEDICAL,WATSAN,35,M,Not first departure
4294,9,2004-11-10,2004-12-17,SD,NON MEDICAL,WATSAN,35,M,Not first departure
4294,10,2005-01-12,2005-01-30,LK,NON MEDICAL,NA,35,M,Not first departure
4294,11,2005-12-01,2005-12-19,PK,PROJECT COORDINATOR,RTL,35,M,Not first departure
4294,12,2006-06-21,2006-07-15,TD,NON MEDICAL,WATSAN,35,M,Not first departure
4294,13,2007-03-13,2007-08-06,TD,NON MEDICAL,WATSAN,35,M,Not first departure
4294,14,2010-01-25,2010-02-15,HT,NON MEDICAL,EXPLO ASSESS DISTRIB,45,M,Not first departure
4294,15,2010-03-24,2010-04-10,HT,NON MEDICAL,EXPLO ASSESS DISTRIB,45,M,Not first departure
4295,1,2002-01-08,2003-03-12,AM,NA,EDUC DS LA RUE,35,M,First departure
4295,2,2003-09-15,2003-10-20,CN,NA,EDUC SPE 2,35,M,Not first departure
4295,3,2004-04-18,2004-08-12,MG,PROJECT COORDINATOR,RT,35,M,Not first departure
4296,1,2001-06-18,2002-07-22,ZM,NA,LOG WATSAN,35,M,First departure
4297,1,2001-06-08,2001-07-27,BI,NA,NA,45,F,First departure
4298,1,2001-06-22,2001-08-03,LK,NA,NA,45,M,First departure
4298,2,2010-01-17,2010-02-14,NG,GAS,CHIR,45,M,Not first departure
4298,3,2013-06-05,2013-07-20,PK,GAS,CHIR,55,M,Not first departure
4298,4,2014-06-23,2014-07-22,PK,GAS,CHIR,55,M,Not first departure
4298,5,2018-06-24,2018-07-22,PI,GAS,CHIR GENE SUPPORT 2,55,M,Not first departure
4299,1,2001-07-16,2002-05-16,SL,NON MEDICAL,ADMINISTRATEUR,35,F,"First departure, relevant experience"
4300,1,2001-07-12,2002-06-30,AM,NA,LOG CAPITAL/KARABAGH,45,M,First departure
4300,2,2002-09-06,2002-10-30,GN,NA,LOG CAPITALE,45,M,Not first departure
4300,3,2002-10-31,2003-03-17,GN,NA,LOG,45,M,Not first departure
4300,4,2003-06-01,2003-09-01,CD,NA,LOG DÉPLACÉS EXP,45,M,Not first departure
4300,5,2003-09-02,2003-10-11,CD,NON MEDICAL,RTL,45,M,Not first departure
4300,6,2003-12-16,2005-01-31,CI,NON MEDICAL,RTL,45,M,Not first departure
4300,7,2005-04-18,2006-05-10,LR,NON MEDICAL,RTL,55,M,Not first departure
4300,8,2006-12-26,2007-02-27,KE,NON MEDICAL,RTL,55,M,Not first departure
4300,9,2007-04-02,2007-06-16,TD,NON MEDICAL,LOG ADMIN,55,M,Not first departure
4300,10,2007-09-03,2008-03-02,CD,NON MEDICAL,LOG,55,M,Not first departure
4300,11,2008-03-18,2008-04-04,TD,NON MEDICAL,SUPPORT MENINGITE,55,M,Not first departure
4300,12,2008-04-08,2008-06-11,JO,NON MEDICAL,LOG CAPITALE,55,M,Not first departure
4300,13,2008-06-12,2008-10-26,CD,NON MEDICAL,LOGCO URG,55,M,Not first departure
4300,14,2008-10-27,2008-11-09,YE,NON MEDICAL,LOG XP URGENCE,55,M,Not first departure
4300,15,2008-11-10,2009-02-12,ET,NON MEDICAL,DILLA LOG EXP,55,M,Not first departure
4300,16,2009-02-13,2009-04-01,ME,NON MEDICAL,NA,55,M,Not first departure
4300,17,2009-04-02,2009-06-29,BF,NON MEDICAL,FADA LOG EXP,55,M,Not first departure
4300,18,2009-06-30,2009-07-24,PK,NON MEDICAL,LOG,55,M,Not first departure
4300,19,2009-07-25,2009-09-09,PK,NON MEDICAL,LOG,55,M,Not first departure
4300,20,2009-09-11,2009-11-17,PK,NON MEDICAL,COLOG,55,M,Not first departure
4300,21,2010-01-10,2010-02-15,LK,NON MEDICAL,COLOG CLOSURE,55,M,Not first departure
4300,22,2010-02-16,2010-04-09,HT,NON MEDICAL,LOG GESTIONNAIRE STOCK,55,M,Not first departure
4300,23,2010-05-13,2010-07-31,TD,NON MEDICAL,COLOG URG NUT,55,M,Not first departure
4300,24,2010-08-01,2010-08-09,MI,NON MEDICAL,NA,55,M,Not first departure
4300,25,2010-11-11,2010-12-01,HT,NON MEDICAL,WATSAN,55,M,Not first departure
4300,26,2010-12-02,2011-01-06,HT,NON MEDICAL,LOG/WATSAN SUPPORT VOLANT,55,M,Not first departure
4300,27,2011-01-07,2011-03-31,CI,NON MEDICAL,COLOG,55,M,Not first departure
4300,28,2011-04-01,2011-05-22,MI,NON MEDICAL,NA,55,M,Not first departure
4300,29,2011-05-23,2011-06-12,LY,NON MEDICAL,COLOG,55,M,Not first departure
4300,30,2011-06-13,2011-07-12,LY,NON MEDICAL,LOG HOSTO,55,M,Not first departure
4300,31,2011-07-14,2011-08-25,CD,NON MEDICAL,LOG SUPPORT COORDO,55,M,Not first departure
4300,32,2011-10-24,2011-11-10,TR,NON MEDICAL,LOG WATSAN,55,M,Not first departure
4300,33,2011-12-02,2011-12-18,SS,NON MEDICAL,LOG CO,55,M,Not first departure
4300,34,2015-07-13,2015-11-23,LY,PROJECT COORDINATOR,PC AL ABYAR,65,M,Not first departure
4301,1,2001-06-18,2001-07-11,SS,NA,NA,55,M,First departure
4301,2,2001-09-15,2001-09-30,GT,NA,NA,55,M,Not first departure
4301,3,2001-11-05,2001-11-14,GT,PROJECT COORDINATOR,NA,55,M,Not first departure
4302,1,2001-06-18,2002-06-18,GE,NA,MED TB/MDR,55,F,First departure
4302,2,2002-10-01,2003-11-06,TH,MD,MED,55,F,Not first departure
4302,3,2004-03-15,2004-09-30,LR,NA,MEDECIN,55,F,Not first departure
4302,4,2005-02-07,2005-07-08,SD,NA,MED,55,F,Not first departure
4302,5,2005-10-24,2006-02-08,GE,NA,MED EXPLO MDR,55,F,Not first departure
4302,6,2006-04-09,2006-07-08,KE,NA,EXPLO TB MDR,65,F,Not first departure
4302,7,2006-10-21,2007-03-02,GE,MD,MED PM,65,F,Not first departure
4303,1,2001-06-11,2001-09-11,CD,NA,NA,45,M,First departure
4303,2,2002-09-19,2002-12-12,AO,NA,MED,45,M,Not first departure
4303,3,2003-03-24,2003-07-28,AO,NA,MED HOPITAL,45,M,Not first departure
4303,4,2003-10-22,2004-01-23,CG,NA,MED,45,M,Not first departure
4303,5,2004-07-16,2004-10-14,CI,NA,MED,45,M,Not first departure
